ENSEMBL,ENTREZID,GENENAME,GENETYPE,SYMBOL,logFC,logCPM,F,PValue,FDR
ENSG00000254833,NA,NA,NA,NA,0.771,6.807,5.708,0.023,1
ENSG00000206729,106481535,"RNA, U6 small nuclear 1126, pseudogene",pseudo,RNU6-1126P,-0.236,6.957,1.898,0.329,1
ENSG00000253696,104266957,KBTBD11 overlapping transcript 1,ncRNA,KBTBD11-OT1,-0.2,7.173,14.319,0.355,1
ENSG00000206589,106481290,"RNA, U6 small nuclear 354, pseudogene",pseudo,RNU6-354P,0.185,7.18,4.445,0.398,1
ENSG00000134548,80763,spexin hormone,protein-coding,SPX,0.182,7.348,12.824,0.378,1
ENSG00000226480,390886,olfactory receptor family 7 subfamily H member 1 pseudogene,pseudo,OR7H1P,0.18,7.057,1.053,0.434,1
ENSG00000136002,50649,Rho guanine nucleotide exchange factor 4,protein-coding,ARHGEF4,0.176,7.094,6.63,0.424,1
ENSG00000135046,301,annexin A1,protein-coding,ANXA1,-0.171,7.313,3.902,0.409,1
ENSG00000199645,106480411,"RNA, U6 small nuclear 1330, pseudogene",pseudo,RNU6-1330P,0.163,7.154,4.429,0.464,1
ENSG00000130349,51250,mitochondrial transcription rescue factor 1,protein-coding,MTRES1,0.162,7.18,7.144,0.444,1
